Date,Confirmed,Recovered,Deaths,Region
2020-03-28T23:03:47.126Z,135,13,1,Нур-Султан
2020-03-28T23:03:47.126Z,60,5,0,Алматы
2020-03-28T23:03:47.126Z,2,0,0,Шымкент
2020-03-28T23:03:47.126Z,6,0,0,Акмолинская область
2020-03-28T23:03:47.126Z,4,0,0,Алматинская область
2020-03-28T23:03:47.126Z,5,0,0,Атырауская область
2020-03-28T23:03:47.126Z,1,0,0,Актюбинская область
2020-03-28T23:03:47.126Z,3,0,0,Жамбылская область
2020-03-28T23:03:47.126Z,1,0,0,Павлодарская область
2020-03-28T23:03:47.126Z,1,0,0,Северо-Казахстанская область
2020-03-28T23:03:47.126Z,1,0,0,Мангистауская область
2020-03-28T23:03:47.126Z,2,0,0,Восточно-Казахстанская область
2020-03-28T23:03:47.126Z,0,0,0,Западно-Казахстанская область
2020-03-28T23:03:47.126Z,7,0,0,Карагандинская область
2020-03-28T23:03:47.126Z,0,0,0,Костанайская область
2020-03-28T23:03:47.126Z,1,0,0,Кызылординская область
2020-03-28T23:03:47.126Z,0,0,0,Туркестанская область
2020-03-29T00:07:28.409Z,229,18,1,Казахстан
2020-03-29T00:07:28.409Z,135,13,1,Нур-Султан
2020-03-29T00:07:28.409Z,60,5,0,Алматы
2020-03-29T00:07:28.409Z,2,0,0,Шымкент
2020-03-29T00:07:28.409Z,6,0,0,Акмолинская область
2020-03-29T00:07:28.409Z,4,0,0,Алматинская область
2020-03-29T00:07:28.409Z,5,0,0,Атырауская область
2020-03-29T00:07:28.409Z,1,0,0,Актюбинская область
2020-03-29T00:07:28.409Z,3,0,0,Жамбылская область
2020-03-29T00:07:28.409Z,1,0,0,Павлодарская область
2020-03-29T00:07:28.409Z,1,0,0,Северо-Казахстанская область
2020-03-29T00:07:28.409Z,1,0,0,Мангистауская область
2020-03-29T00:07:28.409Z,2,0,0,Восточно-Казахстанская область
2020-03-29T00:07:28.409Z,0,0,0,Западно-Казахстанская область
2020-03-29T00:07:28.409Z,7,0,0,Карагандинская область
